type,authors,publication_year,data_collection_period,species,old_region,region,specific_location,n,sample_type,chemical,mean_concentration,concentration_units,mean_concentration_standardized,concentration_units_standardized,tissue,notes,doi_or_link,sex,fa_class
contaminant,Keefer et al.,2020,2013-2014,Chinook,Oregon,BC/WC,Willamette River,63,Individual,PCBs,12.7,ng/g ww,0.0127,mg/kg ww,Fillet+Skin,45 Congeners,10.1007/s10641-019-00944-w,NA,NA
contaminant,Keefer et al.,2020,2013-2014,Chinook,Oregon,BC/WC,Willamette River,63,Individual,DDTs,17.6,ng/g ww,0.0176,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1007/s10641-019-00944-w,NA,NA
contaminant,Kelly et al.,2008,2003,Chinook,British Columbia,BC/WC,WCVI Barkley Sound,10,Individual,Hg,0.086,mg/kg ww,0.086,mg/kg ww,Fillet,NA,10.1897/07-527.1,NA,NA
contaminant,Kelly et al.,2008,2003,Chinook,British Columbia,BC/WC,WCVI Troll,11,Individual,Hg,0.066,mg/kg ww,0.066,mg/kg ww,Fillet,NA,10.1897/07-527.1,NA,NA
contaminant,Kelly et al.,2008,2003,Chum,British Columbia,BC/WC,Johnstone Strait,12,Individual,Hg,0.02,mg/kg ww,0.02,mg/kg ww,Fillet,NA,10.1897/07-527.1,NA,NA
contaminant,Kelly et al.,2008,2003,Coho,British Columbia,BC/WC,Nootka Sound,10,Individual,Hg,0.04,mg/kg ww,0.04,mg/kg ww,Fillet,NA,10.1897/07-527.1,NA,NA
contaminant,Kelly et al.,2008,2003,Coho,British Columbia,BC/WC,Prince Rupert,12,Individual,Hg,0.025,mg/kg ww,0.025,mg/kg ww,Fillet,NA,10.1897/07-527.1,NA,NA
contaminant,Kelly et al.,2008,2003,Coho,British Columbia,BC/WC,WCVI Troll,13,Individual,Hg,0.043,mg/kg ww,0.043,mg/kg ww,Fillet,NA,10.1897/07-527.1,NA,NA
contaminant,Kelly et al.,2008,2003,Pink,British Columbia,BC/WC,Johnstone Strait,10,Individual,Hg,0.013,mg/kg ww,0.013,mg/kg ww,Fillet,NA,10.1897/07-527.1,NA,NA
contaminant,Kelly et al.,2008,2003,Sockeye,British Columbia,BC/WC,Johnstone Strait,11,Individual,Hg,0.038,mg/kg ww,0.038,mg/kg ww,Fillet,NA,10.1897/07-527.1,NA,NA
contaminant,Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,6,Composite,Hg,0.021,mg/kg ww,0.021,mg/kg ww,Fillet,NA,10.1002/etc.410,NA,NA
