year,species,location,mt_escape,y,time,y_10000,source
1963,Pink,CentralAK,15480,15480,12,1.548,"For details of collection, contact Dr. Greg Ruggerone"
1963,Pink,SEAK,15791.999999999998,15791.999999999998,12,1.5791999999999997,"For details of collection, contact Dr. Greg Ruggerone"
1963,Pink,BCWC,18802,18802,12,1.8802,"For details of collection, contact Dr. Greg Ruggerone"
1963,Chum,BeringSea,8490,8490,12,0.849,"For details of collection, contact Dr. Greg Ruggerone"
1963,Chum,CentralAK,8464,8464,12,0.8464,"For details of collection, contact Dr. Greg Ruggerone"
1963,Chum,SEAK,4389,4389,12,0.4389,"For details of collection, contact Dr. Greg Ruggerone"
1963,Chum,BCWC,16590,16590,12,1.659,"For details of collection, contact Dr. Greg Ruggerone"
1963,Sockeye,BeringSea,11092,11092,12,1.1092,"For details of collection, contact Dr. Greg Ruggerone"
1963,Sockeye,CentralAK,6760.000000000001,6760.000000000001,12,0.676,"For details of collection, contact Dr. Greg Ruggerone"
1963,Sockeye,SEAK,1743,1743,12,0.1743,"For details of collection, contact Dr. Greg Ruggerone"
1963,Sockeye,BCWC,21504,21504,12,2.1504,"For details of collection, contact Dr. Greg Ruggerone"
1964,Pink,BeringSea,2856.0000000000005,2856.0000000000005,13,0.2856,"For details of collection, contact Dr. Greg Ruggerone"
1964,Pink,CentralAK,24025.000000000004,24025.000000000004,13,2.4025000000000003,"For details of collection, contact Dr. Greg Ruggerone"
1964,Pink,SEAK,13416,13416,13,1.3416,"For details of collection, contact Dr. Greg Ruggerone"
1964,Pink,BCWC,15810,15810,13,1.581,"For details of collection, contact Dr. Greg Ruggerone"
1964,Chum,BeringSea,11628,11628,13,1.1628,"For details of collection, contact Dr. Greg Ruggerone"
1964,Chum,CentralAK,12507,12507,13,1.2507,"For details of collection, contact Dr. Greg Ruggerone"
1964,Chum,SEAK,5038,5038,13,0.5038,"For details of collection, contact Dr. Greg Ruggerone"
1964,Chum,BCWC,22275.000000000004,22275.000000000004,13,2.2275000000000005,"For details of collection, contact Dr. Greg Ruggerone"
1964,Sockeye,BeringSea,12508,12508,13,1.2508,"For details of collection, contact Dr. Greg Ruggerone"
1964,Sockeye,CentralAK,6734,6734,13,0.6734,"For details of collection, contact Dr. Greg Ruggerone"
1964,Sockeye,SEAK,1632.0000000000002,1632.0000000000002,13,0.1632,"For details of collection, contact Dr. Greg Ruggerone"
1964,Sockeye,BCWC,15903,15903,13,1.5903,"For details of collection, contact Dr. Greg Ruggerone"
1965,Pink,BeringSea,141,141,14,0.0141,"For details of collection, contact Dr. Greg Ruggerone"
1965,Pink,CentralAK,9920.000000000002,9920.000000000002,14,0.9920000000000002,"For details of collection, contact Dr. Greg Ruggerone"
