"year","mean","sd","median","low95CI","high95CI","measure","units"
2000,10.1804170073196,1.84445780683144,10.0015206001552,6.9592268226178,14.5510784088896,"hg","Kilograms"
2001,10.2040289340377,1.84519666412838,10.0221026201568,6.96884032048622,14.5529100089356,"hg","Kilograms"
2002,10.4895307811131,1.9009387652089,10.3118512472302,7.15732273797995,14.9957746243749,"hg","Kilograms"
2003,10.5331197964354,1.9051200618887,10.3513996421749,7.1941967109749,15.0086959700601,"hg","Kilograms"
2004,10.4940140328826,1.89884252946496,10.3090299001657,7.17208346521628,14.9838898149788,"hg","Kilograms"
2005,10.1779484543486,1.8404294370928,10.0025129939191,6.97421759430734,14.5803372683827,"hg","Kilograms"
2006,9.35108469050891,1.68696502302362,9.19667119724319,6.40771162111724,13.3820352087527,"hg","Kilograms"
2007,8.65802602480791,1.56923619933863,8.50349277884789,5.91263792087103,12.3705880431544,"hg","Kilograms"
2008,8.15687288327063,1.47588831692424,8.01520566515965,5.57155198209467,11.6374767419241,"hg","Kilograms"
2009,8.22529855662605,1.48537894522136,8.09264803206198,5.61896620786155,11.7292612687544,"hg","Kilograms"
2010,8.48196914443746,1.53177146988957,8.34216932932756,5.79480809963248,12.1047780617739,"hg","Kilograms"
2011,8.90320172358047,1.60768200999366,8.75495227315116,6.09052002665568,12.7259154674324,"hg","Kilograms"
2012,9.04241664172775,1.63446383318358,8.88391216971171,6.18263894407924,12.9203344431364,"hg","Kilograms"
2013,9.50139293476876,1.72693606495448,9.34242519929743,6.47500385235972,13.6333259773386,"hg","Kilograms"
2014,9.42845868853314,1.70668674053686,9.26449505366884,6.43761407411805,13.4537383704815,"hg","Kilograms"
2015,9.49329776051378,1.71987567958119,9.3281233603928,6.47715504714835,13.5424452391031,"hg","Kilograms"
2000,18455.6564992966,5229.10161461334,17894.0773067968,10572.6296111583,31135.2060111161,"lipids","metric tons"
2001,18551.3470956744,5230.81280887856,17949.892469016,10607.3033924563,31250.2308495821,"lipids","metric tons"
2002,19143.1606447923,5408.59328552643,18544.0362737213,10928.9979929459,32267.0633277987,"lipids","metric tons"
2003,19203.4373572497,5406.13327180161,18582.8468443133,10986.9190515986,32275.7316581207,"lipids","metric tons"
2004,19029.2331122773,5375.22498488863,18406.0051816532,10908.8243628586,32085.881562481,"lipids","metric tons"
2005,18290.0769039982,5176.83687479484,17699.6368850718,10513.2957865425,30892.6674569438,"lipids","metric tons"
2006,16835.7761660258,4742.40723553527,16295.6096673677,9677.70682351966,28332.2819855458,"lipids","metric tons"
2007,15747.5450200824,4462.90423895199,15254.0523822224,9023.48484456077,26554.5435366948,"lipids","metric tons"
2008,14855.8578772343,4196.07057705673,14386.4660164354,8544.40824234636,25003.4737399148,"lipids","metric tons"
2009,14963.5124122386,4215.89772443101,14489.8781849892,8640.08115663322,25192.1032210455,"lipids","metric tons"
2010,15400.1757076976,4339.58257088238,14905.8632381017,8884.84790378197,25921.1646767864,"lipids","metric tons"
2011,16090.5420444103,4539.26265065348,15563.6220351463,9259.87534380779,27118.2524099083,"lipids","metric tons"
2012,16374.9554114007,4623.18505454285,15832.6910277242,9416.42375893068,27588.0825895658,"lipids","metric tons"
2013,17353.4500421044,4932.87440675588,16835.1968317233,9894.13885706318,29312.5956829654,"lipids","metric tons"
2014,17159.0391435527,4846.86285936781,16610.0812228252,9858.14085309525,28883.8103405388,"lipids","metric tons"
2015,17330.7676273478,4896.61912697984,16795.1241699095,9951.55765579919,29129.6291456925,"lipids","metric tons"
2000,4.02461347477569,4.09968653964464,2.93629340139808,0.447769465505115,12.9133898028935,"pcb","Kilograms"
2001,4.05174883320319,4.11647495698551,2.96426147921678,0.453328117467561,12.9978508415259,"pcb","Kilograms"
2002,4.14043774918122,4.2086932341406,3.02424366726822,0.462889355150871,13.333394860213,"pcb","Kilograms"
2003,4.20104332278196,4.26483545808912,3.07477011944215,0.470708843588536,13.4727704632219,"pcb","Kilograms"
2004,4.12927432950559,4.20010774206467,3.01466281718914,0.460844624020326,13.2506768071141,"pcb","Kilograms"
2005,3.95488184130351,4.03070312699787,2.88633764102536,0.439569946743824,12.6551072290755,"pcb","Kilograms"
2006,3.71255459689584,3.77515795661151,2.71782761201767,0.414471055888902,11.8300153785938,"pcb","Kilograms"
2007,3.46313877051985,3.52656341359952,2.53291073167666,0.386412967451302,11.1153414894504,"pcb","Kilograms"
2008,3.30051086898067,3.35534689439538,2.41657820226758,0.370850811943987,10.5703079270695,"pcb","Kilograms"
2009,3.33553437712306,3.38671166524419,2.44904855797716,0.375280141625998,10.6702770200067,"pcb","Kilograms"
2010,3.42199669004439,3.47600787044367,2.50893731883128,0.38428536998203,10.9394350378229,"pcb","Kilograms"
2011,3.54989137672754,3.60963350797244,2.59582244032137,0.39645047326718,11.3423900469554,"pcb","Kilograms"
2012,3.6058756704053,3.66745347272773,2.63761540881343,0.402541200687616,11.5347075323499,"pcb","Kilograms"
2013,3.75542191797715,3.8275330563174,2.73673128193896,0.41755509835634,12.1215110815826,"pcb","Kilograms"
2014,3.77548166305992,3.83906248981816,2.76504409277777,0.422225024284743,12.1035679226506,"pcb","Kilograms"
2015,3.83359302889922,3.89791860257765,2.80885727544287,0.430636216815692,12.2901960576871,"pcb","Kilograms"
2000,11328.2982779234,2303.2917795616,10916.2256956487,7947.22885619245,17747.574727657,"Nitrogen","metric tons"
2001,11313.508085261,2300.28460863955,10901.9735037286,7936.85297774785,17724.403546684,"Nitrogen","metric tons"
2002,11656.3316126495,2369.98815926138,11232.3266518307,8177.35662292053,18261.4909380519,"Nitrogen","metric tons"
2003,11666.8989394526,2372.13672883117,11242.509586774,8184.77000156239,18278.0463303543,"Nitrogen","metric tons"
2004,11638.016156599,2366.26422488704,11214.6774297622,8164.50763913961,18232.7968732461,"Nitrogen","metric tons"
2005,11271.1060641806,2291.66334671696,10861.1138776215,7907.10635939232,17657.9740601658,"Nitrogen","metric tons"
2006,10327.0333496483,2099.71263449673,9951.38228580585,7244.80371382233,16178.9345223249,"Nitrogen","metric tons"
2007,9655.48989720065,1963.1731052847,9304.26656625953,6773.69063288592,15126.8552679845,"Nitrogen","metric tons"
2008,9077.31205385132,1845.61685446578,8747.12023453515,6368.07705104447,14221.0480382513,"Nitrogen","metric tons"
2009,9132.41051622191,1856.81958168316,8800.21446245574,6406.73070222319,14307.3685123693,"Nitrogen","metric tons"
2010,9408.35058669154,1912.92425692842,9066.11707322915,6600.31307768815,14739.6723678,"Nitrogen","metric tons"
2011,9865.59243012374,2005.89156352745,9506.72651323017,6921.08549056366,15456.0141859474,"Nitrogen","metric tons"
2012,10031.8443303523,2039.69422529875,9666.93091646015,7037.71747415722,15716.4741377014,"Nitrogen","metric tons"
2013,10628.1347777469,2160.93316622525,10241.5309970922,7456.03773144079,16650.6576324233,"Nitrogen","metric tons"
2014,10480.4022234148,2130.89589411087,10099.1722891804,7352.39776805145,16419.2111712344,"Nitrogen","metric tons"
2015,10567.4865204839,2148.60204384733,10183.0888508767,7413.49068965449,16555.6425249932,"Nitrogen","metric tons"
2000,1400.94656964627,534.00559489778,1298.03194480784,700.51327237014,2736.86739232671,"Phosphorous","metric tons"
