units,year,name,location,species,family,y,time,y_10000
metric_tons_wet,1961,Central AK_Chum salmon,CentralAK,Chum,salmon,6627,10,0.6627
metric_tons_wet,1961,SEAK_Chum salmon,SEAK,Chum,salmon,5166,10,0.5166
metric_tons_wet,1961,BCWC_Chum salmon,BCWC,Chum,salmon,13689,10,1.3689
metric_tons_wet,1961,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,18910,10,1.891
metric_tons_wet,1961,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,6868,10,0.6868
metric_tons_wet,1961,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1957,10,0.1957
metric_tons_wet,1961,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,18474,10,1.8474
metric_tons_wet,1962,Bering Sea_Pink salmon,BeringSea,Pink,salmon,3153,11,0.3153
metric_tons_wet,1962,Central AK_Pink salmon,CentralAK,Pink,salmon,16617,11,1.6617
metric_tons_wet,1962,SEAK_Pink salmon,SEAK,Pink,salmon,11532,11,1.1532
metric_tons_wet,1962,BCWC_Pink salmon,BCWC,Pink,salmon,27641,11,2.7641
metric_tons_wet,1962,Bering Sea_Chum salmon,BeringSea,Chum,salmon,11794,11,1.1794
metric_tons_wet,1962,Central AK_Chum salmon,CentralAK,Chum,salmon,9957,11,0.9957
metric_tons_wet,1962,SEAK_Chum salmon,SEAK,Chum,salmon,5580,11,0.558
metric_tons_wet,1962,BCWC_Chum salmon,BCWC,Chum,salmon,15842,11,1.5842
metric_tons_wet,1962,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,16615,11,1.6615
metric_tons_wet,1962,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,7813,11,0.7813
metric_tons_wet,1962,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1807,11,0.1807
metric_tons_wet,1962,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,17290,11,1.729
metric_tons_wet,1963,Bering Sea_Pink salmon,BeringSea,Pink,salmon,374,12,0.0374
metric_tons_wet,1963,Central AK_Pink salmon,CentralAK,Pink,salmon,15417,12,1.5417
metric_tons_wet,1963,SEAK_Pink salmon,SEAK,Pink,salmon,15775,12,1.5775
metric_tons_wet,1963,BCWC_Pink salmon,BCWC,Pink,salmon,18931,12,1.8931
metric_tons_wet,1963,Bering Sea_Chum salmon,BeringSea,Chum,salmon,8402,12,0.8402
metric_tons_wet,1963,Central AK_Chum salmon,CentralAK,Chum,salmon,8377,12,0.8377
metric_tons_wet,1963,SEAK_Chum salmon,SEAK,Chum,salmon,4456,12,0.4456
metric_tons_wet,1963,BCWC_Chum salmon,BCWC,Chum,salmon,16489,12,1.6489
metric_tons_wet,1963,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,11060,12,1.106
metric_tons_wet,1963,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,6802,12,0.6802
metric_tons_wet,1963,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1643,12,0.1643
metric_tons_wet,1963,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,21520,12,2.152
metric_tons_wet,1964,Bering Sea_Pink salmon,BeringSea,Pink,salmon,2921,13,0.2921
metric_tons_wet,1964,Central AK_Pink salmon,CentralAK,Pink,salmon,24018,13,2.4018
metric_tons_wet,1964,SEAK_Pink salmon,SEAK,Pink,salmon,13452,13,1.3452
metric_tons_wet,1964,BCWC_Pink salmon,BCWC,Pink,salmon,15714,13,1.5714
metric_tons_wet,1964,Bering Sea_Chum salmon,BeringSea,Chum,salmon,11660,13,1.166
metric_tons_wet,1964,Central AK_Chum salmon,CentralAK,Chum,salmon,12670,13,1.267
metric_tons_wet,1964,SEAK_Chum salmon,SEAK,Chum,salmon,5090,13,0.509
metric_tons_wet,1964,BCWC_Chum salmon,BCWC,Chum,salmon,22355,13,2.2355
metric_tons_wet,1964,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,12617,13,1.2617
metric_tons_wet,1964,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,6860,13,0.686
metric_tons_wet,1964,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1767,13,0.1767
metric_tons_wet,1964,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,15992,13,1.5992
metric_tons_wet,1965,Bering Sea_Pink salmon,BeringSea,Pink,salmon,164,14,0.0164
metric_tons_wet,1965,Central AK_Pink salmon,CentralAK,Pink,salmon,9908,14,0.9908
metric_tons_wet,1965,SEAK_Pink salmon,SEAK,Pink,salmon,12151,14,1.2151
metric_tons_wet,1965,BCWC_Pink salmon,BCWC,Pink,salmon,40878,14,4.0878
metric_tons_wet,1965,Bering Sea_Chum salmon,BeringSea,Chum,salmon,10013,14,1.0013
metric_tons_wet,1965,Central AK_Chum salmon,CentralAK,Chum,salmon,5507,14,0.5507
metric_tons_wet,1965,SEAK_Chum salmon,SEAK,Chum,salmon,5489,14,0.5489
metric_tons_wet,1965,BCWC_Chum salmon,BCWC,Chum,salmon,10228,14,1.0228
metric_tons_wet,1965,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,60762,14,6.0762
metric_tons_wet,1965,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,7800,14,0.78
metric_tons_wet,1965,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1774,14,0.1774
metric_tons_wet,1965,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,7952,14,0.7952
metric_tons_wet,1966,Bering Sea_Pink salmon,BeringSea,Pink,salmon,4545,15,0.4545
metric_tons_wet,1966,Central AK_Pink salmon,CentralAK,Pink,salmon,19901,15,1.9901
metric_tons_wet,1966,SEAK_Pink salmon,SEAK,Pink,salmon,18927,15,1.8927
metric_tons_wet,1966,BCWC_Pink salmon,BCWC,Pink,salmon,16143,15,1.6143
metric_tons_wet,1966,Bering Sea_Chum salmon,BeringSea,Chum,salmon,10825,15,1.0825
metric_tons_wet,1966,Central AK_Chum salmon,CentralAK,Chum,salmon,8313,15,0.8313
metric_tons_wet,1966,SEAK_Chum salmon,SEAK,Chum,salmon,6788,15,0.6788
metric_tons_wet,1966,BCWC_Chum salmon,BCWC,Chum,salmon,23271,15,2.3271
metric_tons_wet,1966,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,25761,15,2.5761
metric_tons_wet,1966,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,9236,15,0.9236
metric_tons_wet,1966,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1993,15,0.1993
metric_tons_wet,1966,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,14742,15,1.4742
metric_tons_wet,1967,Bering Sea_Pink salmon,BeringSea,Pink,salmon,341,16,0.0341
metric_tons_wet,1967,Central AK_Pink salmon,CentralAK,Pink,salmon,8856,16,0.8856
metric_tons_wet,1967,SEAK_Pink salmon,SEAK,Pink,salmon,6383,16,0.6383
metric_tons_wet,1967,BCWC_Pink salmon,BCWC,Pink,salmon,38482,16,3.8482
metric_tons_wet,1967,Bering Sea_Chum salmon,BeringSea,Chum,salmon,9661,16,0.9661
metric_tons_wet,1967,Central AK_Chum salmon,CentralAK,Chum,salmon,5508,16,0.5508
metric_tons_wet,1967,SEAK_Chum salmon,SEAK,Chum,salmon,9798,16,0.9798
metric_tons_wet,1967,BCWC_Chum salmon,BCWC,Chum,salmon,15455,16,1.5455
metric_tons_wet,1967,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,19641,16,1.9641
metric_tons_wet,1967,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,7732,16,0.7732
metric_tons_wet,1967,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1842,16,0.1842
metric_tons_wet,1967,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,10751,16,1.0751
