chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
Hg,1987,Chum,CentralAK,304594.9543282994,212672.29130775214,409682.3029809421,248764.44429868023,363558.0900590621,Contaminants,Species,Kg
Hg,1987,Chum,SEAK,260441.85202686134,181374.26406684864,367104.4250879189,209870.44219528593,319796.9573261995,Contaminants,Species,Kg
Hg,1987,Coho,BCWC,133689.74171946957,89053.18959994231,180928.09794236664,107449.69974598031,157749.66994261034,Contaminants,Species,Kg
Hg,1987,Coho,BeringSea,71438.72397771114,48710.92049482798,98566.77770281507,57504.92231511702,86925.45873345326,Contaminants,Species,Kg
Hg,1987,Coho,CentralAK,152692.61199592595,106224.00164011428,208825.54564945816,123585.21310136943,185011.01872944174,Contaminants,Species,Kg
Hg,1987,Coho,SEAK,108469.64861893059,73272.25925546145,146710.4749538734,87912.34538916098,129794.28840347377,Contaminants,Species,Kg
Hg,1987,Pink,BCWC,256231.11727916828,167511.94568708682,378936.5728552998,199260.73015123763,321768.5535331426,Contaminants,Species,Kg
Hg,1987,Pink,BeringSea,42226.12466654182,26084.70606630673,63013.41015062267,32772.625843602225,53431.6705813134,Contaminants,Species,Kg
Hg,1987,Pink,CentralAK,285956.6898799604,184132.08332632814,422776.92637748603,221703.1555645173,363550.52942398784,Contaminants,Species,Kg
Hg,1987,Pink,SEAK,486514.60820047144,310631.9859403808,710674.6441061068,375584.93729547295,609972.5624089316,Contaminants,Species,Kg
Hg,1987,Sockeye,BCWC,618322.6263657068,424603.01359248505,812832.9917722241,510650.0810534514,731549.3878049281,Contaminants,Species,Kg
Hg,1987,Sockeye,BeringSea,1095414.3841853063,777201.3568448153,1467836.8854125526,911676.3137728256,1312718.0711963135,Contaminants,Species,Kg
Hg,1987,Sockeye,CentralAK,387058.43787507014,273144.5237750884,521117.56354241644,319071.21656066144,465811.1750863852,Contaminants,Species,Kg
Hg,1987,Sockeye,SEAK,60612.98914908498,43444.25067473803,79511.06661965158,49251.19145743641,71518.02421642057,Contaminants,Species,Kg
Hg,1988,Chinook,BCWC,477533.75675126386,334865.603868826,637877.8760390799,389793.8867488817,571076.0169461317,Contaminants,Species,Kg
Hg,1988,Chinook,BeringSea,181043.54541583877,123358.7156207469,250424.23242935294,144574.95057349265,220857.7658246563,Contaminants,Species,Kg
Hg,1988,Chinook,CentralAK,45195.100357147785,31908.323933494496,60983.97353375875,37796.66928215037,53612.018535581665,Contaminants,Species,Kg
Hg,1988,Chinook,SEAK,36857.4081417178,25267.508447667038,50828.388326147935,30329.041431396683,44694.16340120994,Contaminants,Species,Kg
Hg,1988,Chum,BCWC,1005458.5092835559,692981.7401307656,1342233.9239029007,810600.0333319046,1193446.525947648,Contaminants,Species,Kg
Hg,1988,Chum,BeringSea,508176.7418762926,360120.3231649793,694092.9918245757,420963.7792968764,619128.8390268397,Contaminants,Species,Kg
Hg,1988,Chum,CentralAK,298610.1142483754,210845.39546576978,402546.36839406105,241280.29749639367,355980.82037509006,Contaminants,Species,Kg
Hg,1988,Chum,SEAK,256927.78872811544,175722.30001506367,365370.6881266782,207299.0111909262,313757.20294460485,Contaminants,Species,Kg
Hg,1988,Coho,BCWC,132745.84353855703,88818.61240469791,181071.4326878289,107019.12674286257,157754.6403224903,Contaminants,Species,Kg
Hg,1988,Coho,BeringSea,72607.2690722943,49268.63845369122,101307.99916837268,58478.484147521645,87865.73831927526,Contaminants,Species,Kg
Hg,1988,Coho,CentralAK,155322.11441106474,107614.35256812425,211151.8577677262,124952.15846838427,189800.53966210716,Contaminants,Species,Kg
Hg,1988,Coho,SEAK,114185.35203779515,77156.72369675282,154106.70630044554,92542.73319126837,135680.28283760446,Contaminants,Species,Kg
Hg,1988,Pink,BCWC,263369.3713373502,172110.99721587967,391597.05182181916,205030.04529933608,331025.41912485735,Contaminants,Species,Kg
Hg,1988,Pink,BeringSea,41950.40827297685,26230.914111378428,63034.941450055776,32493.64100171387,52998.283012562475,Contaminants,Species,Kg
Hg,1988,Pink,CentralAK,289984.80393838894,186635.00326800632,428255.4956455146,225606.79354819222,369702.51130714326,Contaminants,Species,Kg
Hg,1988,Pink,SEAK,497978.8879617787,318157.143307551,721672.6306663469,383661.48568089004,625552.0051197368,Contaminants,Species,Kg
Hg,1988,Sockeye,BCWC,620308.6551765513,426628.6904868293,816775.7931082078,514765.3263863268,738691.2904714139,Contaminants,Species,Kg
Hg,1988,Sockeye,BeringSea,1083215.4128697827,771274.7458249889,1454380.411599835,900998.9869621295,1301954.9057768525,Contaminants,Species,Kg
Hg,1988,Sockeye,CentralAK,394517.85356463154,277785.05436406727,533935.2411833382,323989.2204869293,474538.9059182101,Contaminants,Species,Kg
Hg,1988,Sockeye,SEAK,60097.335575531484,43219.078977037105,78599.82890549155,49007.24712372997,70907.1921183902,Contaminants,Species,Kg
Hg,1989,Chinook,BCWC,495373.25218565046,350082.94647463865,660105.9912726795,406198.27719319635,589654.316376253,Contaminants,Species,Kg
Hg,1989,Chinook,BeringSea,183253.95174696314,124978.55501823066,254776.3100611406,145937.7138693159,221734.36205702246,Contaminants,Species,Kg
Hg,1989,Chinook,CentralAK,45180.84840426553,31883.557583740356,61317.19698805982,37952.166569736524,53924.32605305799,Contaminants,Species,Kg
Hg,1989,Chinook,SEAK,38108.994048078064,26374.194962373487,52384.7460587335,31337.35495678903,46055.46622735978,Contaminants,Species,Kg
Hg,1989,Chum,BCWC,1037256.1591440107,713270.7185234665,1394646.4160910165,844030.8068876612,1238058.963098745,Contaminants,Species,Kg
Hg,1989,Chum,BeringSea,509640.146116295,364539.42697564873,699083.4466973417,422108.6230969901,623569.2569994475,Contaminants,Species,Kg
Hg,1989,Chum,CentralAK,293670.25620240875,206551.96858450296,397378.18642493873,238701.11747764592,349775.3881204591,Contaminants,Species,Kg
Hg,1989,Chum,SEAK,250549.32389771918,169676.01277422387,362294.773470966,204081.41784242715,309076.4242559733,Contaminants,Species,Kg
Hg,1989,Coho,BCWC,132652.8078996804,88146.56851633685,180806.40953965427,106853.32437404263,159229.5029947093,Contaminants,Species,Kg
Hg,1989,Coho,BeringSea,73599.3959587544,49844.62911360876,101642.62349016781,58635.628980061585,87909.83868694984,Contaminants,Species,Kg
Hg,1989,Coho,CentralAK,156645.27355172572,107840.14985642122,215474.6850145265,126232.86437121827,190730.40114874428,Contaminants,Species,Kg
Hg,1989,Coho,SEAK,119131.9442962054,80314.25419563876,161992.38807531825,96553.21226517927,142206.82665085013,Contaminants,Species,Kg
Hg,1989,Pink,BCWC,269467.14046259085,175183.8516528374,400297.97030594427,209335.96448228043,338254.07578851125,Contaminants,Species,Kg
Hg,1989,Pink,BeringSea,41879.04353713464,26949.771447055595,63048.45841608284,32586.724812702698,52943.520434699836,Contaminants,Species,Kg
Hg,1989,Pink,CentralAK,293881.7258974364,189358.42043033015,434337.98232780636,228097.79621822108,373741.97424635466,Contaminants,Species,Kg
Hg,1989,Pink,SEAK,513155.7148747395,323223.69774213963,744541.7864201904,392803.70759581984,639132.7823096332,Contaminants,Species,Kg
Hg,1989,Sockeye,BCWC,625380.3677922769,430952.04277955776,827623.8237520847,516395.61634380976,742822.8502617972,Contaminants,Species,Kg
Hg,1989,Sockeye,BeringSea,1071709.0072609335,762751.4179649166,1446020.1758443702,893089.7436384689,1288551.970650105,Contaminants,Species,Kg
Hg,1989,Sockeye,CentralAK,400309.3640623035,282310.46085267275,543197.7617687655,330818.1249587153,482054.85720431624,Contaminants,Species,Kg
Hg,1989,Sockeye,SEAK,59617.356465853874,42985.45570200906,77997.33092411548,48967.252648264475,70229.49373519226,Contaminants,Species,Kg
Hg,1990,Chinook,BCWC,510280.32691334945,363222.33019214176,684438.455587469,419187.6179802537,610040.1919700918,Contaminants,Species,Kg
Hg,1990,Chinook,BeringSea,187734.21607086738,127786.81355638748,259990.80594865835,150031.22588024533,224475.51586278094,Contaminants,Species,Kg
Hg,1990,Chinook,CentralAK,45300.699606505674,32030.33084237376,61331.29575073978,37915.724611905665,54051.29251665571,Contaminants,Species,Kg
Hg,1990,Chinook,SEAK,38936.42457155176,27086.24535801052,53721.957998615544,32195.90179174653,47105.711280952746,Contaminants,Species,Kg
Hg,1990,Chum,BCWC,1066372.4787066304,742473.131114153,1435315.3779089784,871748.1725020027,1276484.1010604894,Contaminants,Species,Kg
Hg,1990,Chum,BeringSea,513889.85333734145,367535.1272806925,705201.7951208653,425587.5796410137,629183.8478519514,Contaminants,Species,Kg
Hg,1990,Chum,CentralAK,291046.4970144014,203105.02570727328,392967.56439347274,234503.83070470372,345465.59965687443,Contaminants,Species,Kg
Hg,1990,Chum,SEAK,250605.3714748832,166470.87059140467,364938.2668169764,202918.87589152224,311798.2248269797,Contaminants,Species,Kg
Hg,1990,Coho,BCWC,131819.27211738576,88185.89516994076,182511.05205827262,107463.83609320817,160776.11868212748,Contaminants,Species,Kg
Hg,1990,Coho,BeringSea,73580.39030167725,50179.3174485204,99654.63107449423,58822.127844211594,88176.04105636824,Contaminants,Species,Kg
Hg,1990,Coho,CentralAK,157411.26716198697,108657.31951879684,215393.09400796253,126037.3502786569,189272.48022705497,Contaminants,Species,Kg
Hg,1990,Coho,SEAK,123748.07096918557,83712.84371011113,169111.55015190333,100071.23512252372,148835.0116776601,Contaminants,Species,Kg
Hg,1990,Pink,BCWC,274187.64577508846,177649.35880755782,411982.3224325312,213520.07229595416,346166.7774663415,Contaminants,Species,Kg
Hg,1990,Pink,BeringSea,42122.347439360776,27541.685826901037,63030.677933334235,32840.23682548312,53408.83421396784,Contaminants,Species,Kg
Hg,1990,Pink,CentralAK,299181.85794212006,191186.11959663627,441889.45642646647,232265.076433562,379394.2944728057,Contaminants,Species,Kg
Hg,1990,Pink,SEAK,525471.8852102906,330411.3355227243,765250.9466613492,404318.80491157586,653132.8506571222,Contaminants,Species,Kg
Hg,1990,Sockeye,BCWC,625672.9765254118,434394.91333052074,832379.0202410995,521592.64956889517,750018.7600820232,Contaminants,Species,Kg
Hg,1990,Sockeye,BeringSea,1058474.129805408,755586.3796898448,1434032.4494246384,887217.5785867696,1276834.4156556346,Contaminants,Species,Kg
Hg,1990,Sockeye,CentralAK,408503.07850068295,285591.70292292547,551760.2616733279,337422.99680307985,488012.37373411126,Contaminants,Species,Kg
Hg,1990,Sockeye,SEAK,59197.080602999005,42629.37239045492,77443.58908119713,48644.60726384982,69341.53158837733,Contaminants,Species,Kg
Hg,1991,Chinook,BCWC,521714.65494282905,372334.2706935366,707790.3461936373,432047.4056734425,625266.8218095535,Contaminants,Species,Kg
Hg,1991,Chinook,BeringSea,193192.67729396917,131222.8232771244,266811.6012583942,156016.7951908014,233226.92931495683,Contaminants,Species,Kg
Hg,1991,Chinook,CentralAK,45328.78911545886,32066.217340916934,61016.157895513774,37777.184815846376,54196.88043909613,Contaminants,Species,Kg
Hg,1991,Chinook,SEAK,40026.428612386866,27816.773913684337,55325.46096454316,32766.626089821402,48280.708180071044,Contaminants,Species,Kg
Hg,1991,Chum,BCWC,1096032.8405663567,754854.2189039915,1481869.6815311445,889262.3772653101,1316305.9831199516,Contaminants,Species,Kg
