chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
PBDEs,1996,Chum,BCWC,14188.56268517484,6149.523182109679,36397.84965940774,8669.761259336907,23786.361761019518,Contaminants,Species,kg
PBDEs,1996,Chum,BeringSea,6488.308893552925,2917.4832807403322,17348.578573445116,4144.144464859888,11400.345552478444,Contaminants,Species,kg
PBDEs,1996,Chum,CentralAK,3407.7177257127487,1483.6174045547082,9055.803927828525,2091.6006564402023,5723.973777996089,Contaminants,Species,kg
PBDEs,1996,Chum,SEAK,5926.143267212353,2457.917527603034,16014.496320685757,3639.3427384557344,9714.906432943637,Contaminants,Species,kg
PBDEs,1996,Coho,BCWC,2167.7284564225997,921.0430608408019,5525.929182066505,1329.7761149955,3647.5824243037996,Contaminants,Species,kg
PBDEs,1996,Coho,BeringSea,751.3766511626524,319.00293844979427,1799.1147993079894,450.2836530892706,1189.7240037451556,Contaminants,Species,kg
PBDEs,1996,Coho,CentralAK,1907.7903345717077,809.4752040776261,4732.137386122213,1147.27953492539,3157.5676268479374,Contaminants,Species,kg
PBDEs,1996,Coho,SEAK,1919.7686149840451,786.2131550342652,4611.73744619122,1175.964260184284,3248.205115585072,Contaminants,Species,kg
PBDEs,1996,Pink,BCWC,15991.058205080853,6594.068105455566,41033.4189884657,9387.108104143474,27544.193811874917,Contaminants,Species,kg
PBDEs,1996,Pink,BeringSea,2190.0363690130935,914.3290496010009,5833.604347831717,1272.5990343976464,3781.483497504731,Contaminants,Species,kg
PBDEs,1996,Pink,CentralAK,18118.065418754042,7290.7071517343875,45984.23915072162,10398.641837782194,30031.18190125445,Contaminants,Species,kg
PBDEs,1996,Pink,SEAK,33928.94068893065,13557.141354580963,86774.00780005321,19538.786438236843,56855.985248781304,Contaminants,Species,kg
PBDEs,1996,Sockeye,BCWC,12354.784246571868,6107.7134721361335,27364.965883940175,8173.293446603055,18821.351366070983,Contaminants,Species,kg
PBDEs,1996,Sockeye,BeringSea,18167.45432233662,9238.613771608712,38562.94522032668,12063.517790120844,27943.038934667657,Contaminants,Species,kg
PBDEs,1996,Sockeye,CentralAK,8511.490906152834,4189.878873897784,18443.02287600975,5648.3181127496355,13211.70540814518,Contaminants,Species,kg
PBDEs,1996,Sockeye,SEAK,1037.8979735627186,504.9245126893021,2196.4785789552952,688.0089727460348,1547.6569280672215,Contaminants,Species,kg
PBDEs,1997,Chinook,BCWC,46681.691517105486,21691.993649572923,86938.78385577156,29885.73281282375,67871.53515352812,Contaminants,Species,kg
PBDEs,1997,Chinook,BeringSea,16730.420851262017,7596.205332909083,32341.890893331456,10758.956204073376,24638.956328816512,Contaminants,Species,kg
PBDEs,1997,Chinook,CentralAK,3286.223214225292,1504.0319719336592,6316.2490551569645,2124.461398375902,4910.306079807171,Contaminants,Species,kg
