species,year,location,low75,median,high75,low50,high50,.group,type,panel,fill,data,y,x,PANEL,shape,colour,size,alpha,stroke,facet
Total,2015,NA,13634951.426988853,15384746.42620013,17157177.41658696,14313801.433809498,16558312.990559991,40,Nutrients,d) Total Nutrients,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,d) Total Nutrients
Chinook,1976,NA,509.84373135525834,628.8514744649456,785.6467417595161,563.089380396685,712.0522738642386,41,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1976,NA,2677.8873654742497,3254.4459971360448,4073.0095564963444,2902.7853685775417,3683.461861484769,81,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1976,NA,386.48258861324666,473.6323926924839,602.4637905982061,412.7616232276018,544.7990406904277,1,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1976,NA,3139.038985075388,3668.233497527176,4248.701877017505,3350.596794042828,4024.4676780386617,161,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1976,NA,3102.138964072976,3783.327422022956,4587.079614421161,3368.7766097667736,4239.5213605637555,121,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1977,NA,526.8700604935365,640.5210780002876,786.2029446464475,579.0594028303484,721.1834843677395,42,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1977,NA,2658.1930858984456,3190.778452999618,3967.16416356997,2860.855948355065,3580.9195660704922,82,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1977,NA,408.3219165369209,491.82938520853236,613.3462709574235,434.84746066400567,561.5582052422061,2,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1977,NA,3220.5458490853193,3719.6297712825344,4261.155850834186,3418.749814672176,4047.9169426532144,162,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1977,NA,3170.329193402738,3787.8896684524398,4582.812226671318,3426.0489066119053,4235.350017072669,122,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1978,NA,545.246351779512,651.7023629944781,796.2914602614788,592.0964363355118,728.5473441059637,43,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1978,NA,2638.2864126093123,3149.3092606232035,3914.6128397939074,2830.6589987376333,3540.987723698418,83,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1978,NA,432.26227186212543,513.0734810704569,636.4266649564944,459.43334049028647,583.9041619560647,3,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1978,NA,3298.335437006621,3772.892352228375,4273.893135180586,3466.6539074423854,4071.128137891773,163,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1978,NA,3231.5184167103635,3814.746670487444,4559.10311151627,3474.832761719233,4240.2550526494715,123,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1979,NA,560.2550768553847,665.601114818768,806.9284673090675,603.2026442557465,743.2527820695161,44,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1979,NA,2644.5725812364167,3143.9773076664223,3917.404436298933,2833.0166364471356,3530.890851695595,84,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
