species,year,location,low75,median,high75,low50,high50,.group,type,panel,fill,data,y,x,PANEL,shape,colour,size,alpha,stroke,facet
Total,1997,All Regions,294693.8175867478,314168.3039784122,338804.6821723431,306923.52035020146,321489.15454757935,22,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1998,All Regions,298218.4339734237,317580.6979156116,344584.78999099054,310453.958305673,325649.54047684965,23,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1999,All Regions,299824.2671541362,320119.3069512118,346632.87968977203,312873.0224853592,328436.197502935,24,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2000,All Regions,301726.5208448573,321459.82405257167,348347.5951550131,314519.6511210373,330055.46304284374,25,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2001,All Regions,301633.28892413655,322114.16685484187,347956.03053798235,314475.36869170604,330794.6847256941,26,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2002,All Regions,301115.44709508785,321281.05817897466,347395.9894189105,314002.23081480816,329942.91162094474,27,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2003,All Regions,300301.45869205537,319649.56639273145,344834.8988807198,312662.42304061155,327721.6770286127,28,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2004,All Regions,298323.49348378286,317852.9523998437,341699.3968169324,310626.7241282731,325329.90718278487,29,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2005,All Regions,294902.49443990726,315221.18822878104,338166.42641146574,307444.24476695555,322487.9376938654,30,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2006,All Regions,291392.1596998335,312188.4792674345,334588.2729035978,304520.9611884727,319307.0163717939,31,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2007,All Regions,287938.2208534952,309025.4419553133,332338.59486964263,301559.80823458725,316326.0351124492,32,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2008,All Regions,285062.12875347404,306237.96091585973,329720.0132897718,298772.4390643915,313944.43849714694,33,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2009,All Regions,282005.38575095945,304143.24378086836,328379.84142710036,295990.2389541578,311664.58394227,34,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2010,All Regions,278944.2212393582,302822.6780516863,327411.15241418284,294288.40705144487,310972.8056656084,35,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2011,All Regions,276877.8455191692,302149.0627309078,327792.3115213516,293196.5324227117,311178.5341769004,36,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2012,All Regions,274842.88379057794,302504.6400945453,330316.0152063656,292159.9039385472,312577.32407924626,37,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2013,All Regions,272970.4634787501,303688.3934857335,334947.8030555536,293074.2413286045,314737.520895737,38,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2014,All Regions,271548.0016036553,305080.15066204156,341282.31336226093,293454.05332139274,318105.77004671714,39,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,2015,All Regions,269236.5924472308,307733.6696432255,349100.8351826303,294883.64661700506,322228.2669165977,40,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Chinook,1976,All Regions,9467.416464772377,12225.085976050921,16238.218145311559,11147.915909080337,13563.008361154258,41,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1977,All Regions,10012.032085786017,12505.502296257782,15751.59239156161,11514.208066186198,13517.346250018954,42,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1978,All Regions,10478.739950933388,12698.970837097933,15643.9989204709,11869.504756757113,13660.989205437756,43,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1979,All Regions,10838.78098158103,12975.44306975992,15682.379502699967,12169.746617219866,13877.786412748403,44,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1980,All Regions,11036.096197390652,13220.622516178393,15785.91360810669,12480.84596401963,14127.194549188383,45,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1981,All Regions,11333.598983486905,13469.387737063069,15863.08509519233,12765.231760660432,14348.484257884009,46,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1982,All Regions,11601.892376378759,13778.383290977457,16155.944075035773,13047.807089104841,14630.269330151514,47,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1983,All Regions,11911.22042525972,14076.833150647588,16435.443295622346,13322.738229367464,14932.313630164505,48,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1984,All Regions,12257.072140191902,14395.843243654377,16757.753370079878,13633.552293101333,15193.856927523479,49,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1985,All Regions,12586.920703865302,14731.293265347365,17103.547591651608,13918.511050094668,15520.815536759572,50,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1986,All Regions,12861.231492289517,15086.1085268477,17604.286882191387,14291.168999730533,15886.779753519508,51,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1987,All Regions,13235.635083491348,15468.606429808206,18193.07454873727,14650.3772650312,16280.483529074125,52,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1988,All Regions,13543.801758618823,15895.612658219176,18871.840939392256,15053.345419001598,16707.604411941636,53,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1989,All Regions,13887.849075007887,16294.638588968282,19330.37310494466,15421.599642848929,17203.999263719073,54,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1990,All Regions,14357.62963506089,16738.252754886,20027.40570521261,15823.165649191073,17730.56798353467,55,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1991,All Regions,14797.056841804893,17153.028242029068,20508.510748551394,16236.602768007353,18207.68198307508,56,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1992,All Regions,15130.384313356737,17550.840283567042,20848.661117140284,16600.56592739988,18597.012490939454,57,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1993,All Regions,15388.348066087607,17893.915485687365,21333.861302633053,16901.439056717365,18985.330669037416,58,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1994,All Regions,15653.242908831855,18190.86981967759,21543.63322193687,17195.34428405934,19351.059183038742,59,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1995,All Regions,15907.257900871735,18377.121978591917,21956.430414916504,17427.895822862076,19583.743769886958,60,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1996,All Regions,16018.000198206557,18595.316841592597,21962.739369709954,17636.43805811046,19763.50825062606,61,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1997,All Regions,16154.937634095682,18776.028803477268,22212.727563150966,17780.907539663996,19841.600292510586,62,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1998,All Regions,16169.816252357805,18900.24505053542,22590.795880015852,17834.69474249977,20047.939571700466,63,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,1999,All Regions,16321.085731393843,18940.03329844521,22722.176303211298,17888.973075118367,20118.772887251238,64,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2000,All Regions,16374.774993110357,18938.346103363023,22779.461015891302,17859.46899011834,20122.62078495261,65,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2001,All Regions,16222.372832629295,18758.95664376882,22854.104866597503,17743.990592333008,20105.524039684482,66,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2002,All Regions,15888.221770770706,18538.461370156376,22551.016632738952,17557.848895279047,19950.36054090924,67,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2003,All Regions,15578.896592217508,18152.249532712354,22184.670505618025,17183.12711693969,19596.598658984225,68,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2004,All Regions,15080.72455051944,17681.47290680195,21436.78525418346,16688.027885376698,18958.89248291763,69,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2005,All Regions,14497.985233980438,17106.381965399672,20503.959318609326,16165.977324913729,18235.525143273848,70,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2006,All Regions,13698.04414117067,16370.055235911499,19521.15351921616,15467.413850066914,17436.769656248256,71,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2007,All Regions,12968.361614653206,15667.88438133444,18775.836365587253,14787.62115943015,16698.679680490084,72,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2008,All Regions,12324.830072296105,14981.97768647957,17993.863337234463,14110.069405950171,15996.865626379391,73,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2009,All Regions,11647.803172508762,14346.952824531356,17434.85950448132,13405.44514379879,15331.028004464159,74,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2010,All Regions,11002.11957209969,13760.64876631871,16996.91600627609,12828.164736508785,14791.20869576429,75,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2011,All Regions,10589.106007481932,13305.177174131324,16731.003559871682,12318.126139616294,14286.45164188287,76,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2012,All Regions,10173.409615890196,12861.831362927158,16585.774883675473,11841.380593472122,13893.875378225504,77,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2013,All Regions,9633.78592799642,12485.813757993004,16330.440886806457,11431.270405583091,13616.083355146988,78,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2014,All Regions,9030.601412603519,12145.121865784742,16399.628318744704,10987.476579241746,13382.380884087337,79,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chinook,2015,All Regions,8482.537344410608,11863.16983417171,16495.875436766568,10546.367048905619,13250.124107188392,80,Escapement,c) Species returns,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1976,All Regions,52990.78452398866,63723.72023805346,80051.05161160218,59974.73248223345,68394.3248149915,81,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1977,All Regions,53612.66367933028,62558.94388742975,76054.81882180419,59343.92394457715,66692.5608444646,82,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1978,All Regions,53607.941074439485,61917.06747894114,74070.17658409335,59027.452974583226,65589.7275449144,83,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1979,All Regions,53618.002965009924,61773.5751957397,73180.01195496588,59112.33908478118,65172.64628296706,84,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1980,All Regions,54054.716594244506,62085.23008944014,72950.41906350397,59492.555351340816,65538.65573808854,85,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1981,All Regions,54921.66891409533,62951.52924858763,72647.08020452142,60204.625807242875,66105.56471870758,86,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1982,All Regions,55996.19154720695,64110.45543826398,73608.01418924083,61253.955706644294,67161.74164793933,87,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1983,All Regions,57256.75724744617,65277.827838006575,74685.28436385398,62502.70157155332,68416.71155758394,88,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1984,All Regions,58857.52360575804,66739.70657218518,76183.71693341144,63858.89447431301,69873.06099751181,89,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1985,All Regions,60263.37972589104,68060.40834727569,77509.70436512188,65115.382416690554,71371.41336276596,90,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1986,All Regions,61513.22856862459,69091.99769295295,78373.30221351876,66245.88067717508,72610.30462563808,91,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1987,All Regions,62473.708576941914,70157.55200602757,79846.33661934591,67129.25157382856,73547.00084863929,92,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1988,All Regions,63174.317259728115,71135.84383458714,80671.11838727744,68058.24834184967,74446.36132754869,93,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1989,All Regions,63818.093680974926,72042.721844093,82650.49613164038,69057.51807471094,75563.24243969341,94,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1990,All Regions,64474.091405356536,73288.77733103909,84280.18497293924,70054.14538667089,76846.53214551836,95,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1991,All Regions,65649.13083172693,74781.96259571295,86294.17642735744,71212.45040326018,78286.7282402412,96,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1992,All Regions,66753.54217465737,76201.84862963873,88403.88660493334,72821.82649469873,80054.27900389154,97,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1993,All Regions,68684.58969648198,78235.8841313897,90522.57605665302,74694.11188801436,82158.86362454013,98,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1994,All Regions,70972.98586515416,80486.92346719372,93049.568221101,76713.80730635056,84422.96480882459,99,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1995,All Regions,73153.49453668534,82933.85488976541,96071.56287257723,79043.53889316368,86840.21036914428,100,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1996,All Regions,75303.45881690108,85077.84991887362,98376.68520904274,81456.4688146809,89222.37227387185,101,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1997,All Regions,77035.43608116078,86945.13632155074,100402.58104396141,83150.92210119522,91217.19091227974,102,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1998,All Regions,77640.6562917492,88110.01720085679,102240.76089764212,84219.56811973309,92465.07944227869,103,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,1999,All Regions,77464.22264523353,88307.18661861817,101953.99504361511,84346.00382167695,92721.00772303106,104,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2000,All Regions,77135.79773582245,87607.7758905699,100614.48104987708,83611.87011176464,91658.89325862889,105,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2001,All Regions,76146.02383016271,86103.15096371513,99506.55160329297,82423.04410022314,90332.72950366283,106,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2002,All Regions,74887.59950894675,84045.13715330124,97020.36016246951,80757.92889007844,88091.91359619734,107,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2003,All Regions,73124.23509855033,81930.761860271,93880.6538454562,78854.74251061984,85867.10805363268,108,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2004,All Regions,71111.331578063,79913.69466235905,90930.48588943633,76762.47310593928,83381.63979797621,109,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2005,All Regions,69204.33262133837,77542.43601125164,87716.05149134355,74543.6766479062,80689.95016927882,110,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2006,All Regions,66952.54576800358,75310.77257633218,84900.57538485067,72337.32759661644,78484.50704243677,111,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2007,All Regions,64962.79810098662,73154.85306602897,82716.52775054285,70123.6903353961,76421.85711836285,112,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2008,All Regions,62668.76838873748,71169.23978035183,81061.33268779883,68297.67614504712,74474.4523132345,113,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2009,All Regions,61271.01386480202,69653.33112102315,79474.87985320974,66615.68093855803,72920.98005869039,114,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2010,All Regions,59835.4349436236,68611.99526509427,78832.68285514876,65498.58245140084,71805.68342142066,115,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2011,All Regions,58641.028267220085,67974.53428437642,78726.66354545613,64581.97095490706,71302.93876372898,116,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2012,All Regions,57819.697957429504,67752.7504308839,79271.01202639106,64134.82367622128,71319.90596830449,117,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2013,All Regions,57892.099097963284,67882.66398871932,80498.48515012932,64068.903843107866,71929.88416173376,118,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2014,All Regions,57727.48015518433,68632.02181377282,83667.55922840626,64213.95779564057,73374.74743396262,119,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Chum,2015,All Regions,57091.98755550825,69685.43529797706,88207.0313022027,64364.31853538724,75598.28719454721,120,Escapement,c) Species returns,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1976,All Regions,7187.933996628279,9245.591847509877,12250.85077048225,8392.8345433684,10167.408710122072,1,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1977,All Regions,7737.918003965692,9620.204795539674,12203.454536215577,8916.55296982586,10415.084627920241,2,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1978,All Regions,8402.086256182665,10099.50181092462,12232.831934859329,9455.551657381611,10757.292326213721,3,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1979,All Regions,9029.346693220332,10621.670460643189,12570.966008801382,10035.990280322672,11198.803354671263,4,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1980,All Regions,9726.040096817696,11231.547269866911,13000.522245208991,10651.793772944548,11789.979546215713,5,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1981,All Regions,10367.205260119204,11842.050102498231,13559.709167336518,11333.06011929597,12422.536033596487,6,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1982,All Regions,11059.727197450196,12511.853732133188,14334.72721983686,12011.543808726099,13103.869787800812,7,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1983,All Regions,11672.169056087518,13132.743590957354,15088.746824372327,12629.54927006401,13740.641740558476,8,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1984,All Regions,12177.06683177018,13728.39487636407,15815.080148544292,13148.580932107345,14366.937816183021,9,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1985,All Regions,12650.993597955914,14210.482599454203,16509.792595635354,13625.29027113214,14901.615145956592,10,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1986,All Regions,12963.730132997256,14613.746915910391,16924.667557642075,13985.657368764447,15333.69276470501,11,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1987,All Regions,13234.55246703947,14973.567580192394,17250.00574014073,14332.300226204028,15687.154445069606,12,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1988,All Regions,13419.382369920639,15245.642217614077,17432.034894722732,14563.220230413503,15960.398759217529,13,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1989,All Regions,13607.033605322422,15469.92859413915,17692.40328372762,14798.360168653368,16223.798031702652,14,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1990,All Regions,13797.014695735643,15698.55439429188,17957.508329472363,14974.006064253956,16404.898728415603,15,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1991,All Regions,13915.95927725466,15854.126344872013,18162.467380527534,15108.761713932548,16553.153577809888,16,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1992,All Regions,13990.21738154415,15965.21351761463,18350.818876993784,15177.988431573784,16651.867159400117,17,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1993,All Regions,13991.773180251565,15974.836864891124,18356.19675968101,15207.761397028673,16697.085054097734,18,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1994,All Regions,13996.154153285017,15887.114712362232,18391.646941910796,15167.671493103295,16629.110407273278,19,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1995,All Regions,13942.00462937099,15758.717047885182,18203.880962332092,15078.865471123176,16515.01355494795,20,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1996,All Regions,13728.181899206747,15624.450114640395,18027.32477253347,14961.317878986056,16363.098732155375,21,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1997,All Regions,13575.587554207357,15565.68284567312,17818.763235521263,14889.876729359514,16281.91144730951,22,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1998,All Regions,13620.555384870924,15522.537275334054,17771.886349804718,14824.77384035624,16272.238465651828,23,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,1999,All Regions,13676.978259941565,15516.92747038659,17921.430117490632,14833.339956456002,16325.225707262427,24,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,2000,All Regions,13732.714767323496,15592.432846110552,18026.012402942484,14874.845985498494,16439.9506723571,25,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,2001,All Regions,13754.661079024083,15646.69278854359,18328.54200226696,14885.555492063964,16537.404734847125,26,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,2002,All Regions,13754.603658442044,15698.26830095518,18673.419728780744,14948.359595418366,16604.59959574671,27,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
Coho,2003,All Regions,13618.979185984863,15686.351612758048,18674.226749304726,14946.873108302621,16603.505247471137,28,Escapement,c) Species returns,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,c) Species returns
